X,Y,#
3656,2740,41
x,y
[3112 1422]
[3113 1421]
[3113 1419]
[3114 1418]
[3114 1417]
[3113 1416]
[3113 1412]
[3112 1411]
[3112 1408]
[3109 1405]
[3109 1404]
[3108 1403]
[3105 1403]
[3104 1402]
[1480 1283]
[1478 1285]
[1477 1285]
[1476 1284]
[1473 1284]
[1468 1289]
[1467 1289]
[1465 1291]
[1465 1292]
[1464 1293]
[1464 1294]
[1463 1295]
[1463 1296]
[1462 1297]
[1462 1299]
[1460 1301]
[1460 1303]
[1461 1304]
[1461 1312]
[1462 1313]
[1462 1315]
[1463 1316]
[1463 1319]
[1464 1320]
[1464 1322]
[1466 1324]
[1466 1325]
[1468 1327]
[1468 1328]
[1473 1333]
[1474 1333]
[1475 1334]
[1475 1336]
[1476 1336]
[1477 1337]
[1478 1337]
[1480 1339]
[1482 1339]
[1484 1341]
[1493 1341]
[1494 1340]
[1495 1340]
[1496 1339]
[1499 1339]
[1501 1337]
[1502 1337]
[1503 1336]
[1504 1336]
[1511 1329]
[1511 1328]
[1512 1327]
[1512 1326]
[1513 1325]
[1513 1324]
[1514 1323]
[1514 1321]
[1515 1320]
[1515 1311]
[1514 1310]
[1514 1309]
[1513 1308]
[1513 1304]
[1511 1302]
[1511 1300]
[1509 1298]
[1509 1297]
[1506 1294]
[1505 1294]
[1503 1292]
[1503 1291]
[1502 1290]
[1501 1290]
[1498 1287]
[1495 1287]
[1493 1285]
[1489 1285]
[1488 1284]
[1483 1284]
[1482 1283]
[ 526 1240]
[ 525 1241]
[ 524 1241]
[ 524 1244]
[ 525 1245]
[ 528 1245]
[ 530 1243]
[ 531 1243]
[ 528 1240]
[ 413 1217]
[ 410 1220]
[ 410 1225]
[ 412 1225]
[ 413 1226]
[ 414 1226]
[ 415 1227]
[ 417 1225]
[ 418 1225]
[ 419 1224]
[ 419 1219]
[ 416 1219]
[ 415 1218]
[ 414 1218]
[2360 1074]
[2357 1077]
[2357 1078]
[2356 1079]
[2356 1081]
[2357 1082]
[2357 1083]
[2358 1084]
[2359 1084]
[2360 1085]
[2362 1085]
[2364 1083]
[2364 1077]
[2363 1076]
[2363 1075]
[2362 1074]
[914 898]
[913 899]
[912 899]
[912 900]
[913 901]
[913 902]
[914 903]
[915 903]
[916 904]
[917 904]
[918 903]
[919 903]
[919 902]
[915 898]
[3462  877]
[3461  878]
[3460  878]
[3459  879]
