X,Y,#
3656,2740,133
x,y
[3247 2734]
[3246 2735]
[3245 2735]
[3244 2736]
[3244 2739]
[3256 2739]
[3255 2738]
[3255 2737]
[3253 2735]
[3252 2735]
[3251 2734]
[  97 2174]
[  96 2173]
[  96 2172]
[  96 2174]
[  95 2175]
[  96 2175]
[  98 2177]
[ 101 2177]
[ 102 2176]
[ 104 2178]
[ 104 2177]
[ 103 2176]
[ 103 2175]
[ 104 2174]
[ 106 2174]
[ 106 2173]
[ 105 2172]
[ 105 2170]
[1595 2125]
[1594 2126]
[1593 2126]
[1593 2127]
[1592 2128]
[1592 2130]
[1591 2131]
[1591 2133]
[1592 2134]
[1592 2135]
[1593 2136]
[1598 2136]
[1599 2135]
[1600 2135]
[1601 2134]
[1601 2129]
[1599 2127]
[1599 2126]
[1598 2126]
[1597 2125]
[1245 2114]
[1244 2115]
[1241 2115]
[1240 2116]
[1240 2117]
[1239 2118]
[1238 2118]
[1237 2119]
[1235 2119]
[1233 2121]
[1232 2120]
[1231 2121]
[1228 2121]
[1226 2119]
[1226 2118]
[1224 2118]
[1222 2116]
[1215 2116]
[1214 2115]
[1213 2115]
[1213 2116]
[1212 2117]
[1211 2117]
[1210 2118]
[1208 2118]
[1207 2119]
[1205 2119]
[1204 2120]
[1204 2121]
[1203 2122]
[1202 2122]
[1197 2127]
[1195 2127]
[1196 2128]
[1195 2129]
[1195 2130]
[1193 2132]
[1193 2135]
[1192 2136]
[1192 2142]
[1194 2144]
[1194 2145]
[1195 2146]
[1196 2146]
[1197 2147]
[1197 2148]
[1198 2148]
[1201 2151]
[1201 2152]
[1202 2153]
[1202 2154]
[1206 2158]
[1207 2158]
[1208 2159]
[1208 2160]
[1209 2161]
[1209 2163]
[1210 2164]
[1210 2165]
[1211 2165]
[1214 2168]
[1215 2168]
[1216 2169]
[1217 2169]
[1218 2168]
[1219 2168]
[1220 2169]
[1221 2168]
[1224 2168]
[1225 2169]
[1228 2169]
[1229 2168]
[1233 2168]
[1234 2167]
[1236 2167]
[1237 2166]
[1238 2166]
[1239 2165]
[1241 2165]
[1244 2162]
[1244 2161]
[1246 2159]
[1246 2158]
[1247 2157]
[1248 2157]
[1248 2156]
[1250 2154]
[1251 2154]
[1251 2153]
[1254 2150]
[1254 2149]
[1255 2148]
[1255 2144]
[1256 2143]
[1255 2142]
[1255 2141]
[1254 2140]
[1254 2136]
[1255 2135]
[1256 2136]
[1255 2135]
[1255 2132]
[1256 2131]
[1255 2130]
[1256 2129]
[1256 2127]
[1257 2126]
[1257 2124]
[1256 2123]
[1256 2122]
[1255 2121]
[1255 2119]
[1251 2115]
[1246 2115]
[3112 2110]
[3110 2112]
[3108 2112]
[3107 2113]
[3107 2114]
[3106 2115]
[3106 2120]
[3107 2121]
[3107 2122]
[3110 2125]
[3110 2126]
[3111 2126]
[3112 2127]
[3113 2127]
[3114 2128]
[3115 2127]
[3118 2127]
[3120 2125]
[3121 2125]
[3121 2124]
[3123 2122]
[3123 2118]
[3122 2117]
[3122 2113]
[3121 2113]
[3120 2112]
[3120 2111]
[3118 2111]
[3117 2110]
[1461 2090]
[1459 2092]
[1459 2093]
[1458 2094]
[1458 2096]
