X,Y,#
3656,2740,25
x,y
[ 288 2712]
[ 288 2716]
[ 287 2717]
[ 286 2716]
[ 286 2715]
[ 281 2715]
[ 281 2716]
[ 279 2718]
[ 278 2717]
[ 278 2720]
[ 275 2723]
[ 276 2724]
[ 276 2725]
[ 277 2726]
[ 277 2727]
[ 278 2728]
[ 278 2729]
[ 280 2729]
[ 282 2731]
[ 281 2732]
[ 281 2733]
[ 283 2733]
[ 284 2732]
[ 285 2732]
[ 286 2731]
[ 287 2731]
[ 288 2732]
[ 288 2733]
[ 288 2732]
[ 287 2731]
[ 287 2730]
[ 288 2729]
[ 289 2729]
[ 289 2728]
[ 290 2727]
[ 291 2727]
[ 292 2728]
[ 291 2727]
[ 290 2727]
[ 289 2726]
[ 291 2724]
[ 292 2724]
[ 292 2718]
[ 291 2717]
[ 291 2716]
[ 289 2714]
[ 290 2713]
[ 290 2712]
[ 775 2668]
[ 774 2669]
[ 776 2671]
[ 775 2672]
[ 774 2672]
[ 773 2671]
[ 771 2671]
[ 771 2674]
[ 770 2675]
[ 768 2673]
[ 768 2674]
[ 767 2675]
[ 766 2675]
[ 767 2676]
[ 768 2675]
[ 769 2676]
[ 769 2677]
[ 768 2678]
[ 768 2680]
[ 767 2681]
[ 763 2681]
[ 763 2683]
[ 764 2683]
[ 765 2684]
[ 764 2685]
[ 761 2685]
[ 760 2686]
[ 762 2688]
[ 762 2690]
[ 761 2691]
[ 760 2691]
[ 759 2690]
[ 758 2690]
[ 757 2691]
[ 757 2692]
[ 759 2694]
[ 759 2695]
[ 758 2696]
[ 758 2698]
[ 759 2699]
[ 759 2701]
[ 758 2702]
[ 757 2702]
[ 757 2703]
[ 755 2705]
[ 755 2706]
[ 756 2706]
[ 757 2707]
[ 755 2709]
[ 755 2710]
[ 753 2712]
[ 752 2711]
[ 753 2712]
[ 752 2713]
[ 750 2713]
[ 750 2714]
[ 751 2715]
[ 750 2716]
[ 746 2716]
[ 747 2716]
[ 749 2718]
[ 749 2719]
[ 748 2720]
[ 746 2720]
[ 745 2719]
[ 745 2718]
[ 744 2719]
[ 744 2720]
[ 743 2721]
[ 742 2721]
[ 741 2720]
[ 741 2722]
[ 740 2723]
[ 736 2723]
[ 736 2726]
[ 735 2727]
[ 736 2728]
[ 736 2733]
[ 735 2734]
[ 734 2733]
[ 733 2734]
[ 733 2735]
[ 732 2736]
[ 731 2736]
[ 731 2738]
[ 732 2738]
[ 734 2736]
[ 736 2738]
[ 736 2739]
[ 853 2739]
[ 852 2738]
[ 852 2736]
[ 853 2735]
[ 854 2735]
[ 855 2736]
[ 857 2734]
[ 856 2733]
[ 859 2730]
[ 861 2730]
[ 859 2728]
[ 858 2728]
[ 857 2727]
[ 858 2726]
[ 859 2726]
[ 860 2725]
[ 861 2725]
[ 861 2723]
[ 860 2724]
[ 858 2724]
[ 857 2723]
[ 858 2722]
[ 858 2720]
[ 859 2719]
[ 860 2719]
[ 860 2717]
[ 863 2714]
[ 864 2714]
[ 863 2713]
[ 863 2711]
[ 861 2711]
[ 860 2710]
[ 860 2709]
[ 861 2708]
[ 862 2708]
[ 861 2707]
[ 861 2706]
[ 862 2705]
[ 863 2705]
[ 864 2706]
[ 864 2705]
[ 863 2704]
[ 864 2703]
[ 865 2703]
[ 864 2702]
[ 863 2703]
[ 861 2701]
[ 861 2700]
[ 862 2699]
[ 863 2699]
[ 864 2698]
[ 863 2697]
[ 863 2696]
[ 864 2695]
[ 865 2695]
[ 865 2694]
[ 866 2693]
[ 867 2693]
[ 867 2691]
[ 866 2691]
[ 865 2690]
[ 865 2691]
[ 866 2692]
[ 866 2693]
[ 865 2694]
[ 864 2694]
[ 863 2693]
[ 862 2694]
[ 861 2693]
[ 861 2692]
[ 862 2691]
[ 861 2690]
[ 860 2690]
[ 859 2691]
[ 858 2690]
[ 858 2688]
[ 857 2687]
[ 858 2686]
[ 858 2684]
[ 857 2684]
[ 856 2685]
[ 854 2685]
[ 853 2684]
[ 856 2681]
[ 858 2681]
[ 858 2680]
[ 861 2677]
[ 861 2673]
[ 859 2673]
[ 859 2674]
[ 858 2675]
[ 857 2674]
[ 855 2674]
[ 853 2672]
[ 852 2672]
[ 851 2671]
[ 852 2672]
[ 851 2673]
[ 851 2674]
[ 852 2675]
[ 852 2676]
[ 851 2677]
[ 847 2677]
[ 848 2678]
[ 847 2679]
[ 846 2679]
[ 845 2678]
[ 845 2679]
[ 847 2679]
[ 848 2680]
[ 847 2681]
[ 844 2681]
[ 843 2682]
[ 842 2682]
[ 841 2681]
[ 839 2683]
[ 835 2683]
[ 834 2682]
[ 834 2683]
[ 832 2685]
[ 831 2684]
[ 829 2684]
[ 828 2683]
[ 826 2683]
[ 827 2684]
[ 827 2685]
[ 826 2686]
[ 826 2687]
[ 825 2688]
[ 824 2688]
[ 823 2687]
[ 822 2688]
[ 822 2690]
[ 821 2691]
[ 817 2691]
[ 816 2690]
[ 818 2692]
[ 818 2693]
[ 817 2694]
[ 816 2694]
[ 815 2693]
[ 813 2693]
[ 812 2694]
[ 811 2694]
[ 810 2695]
[ 809 2695]
[ 808 2694]
[ 808 2692]
[ 806 2692]
[ 805 2693]
[ 803 2693]
[ 801 2691]
[ 801 2689]
[ 802 2688]
[ 803 2689]
[ 803 2690]
[ 805 2690]
[ 804 2689]
[ 803 2689]
[ 802 2688]
[ 803 2687]
[ 804 2687]
[ 803 2687]
[ 802 2688]
[ 801 2688]
[ 800 2687]
[ 801 2686]
[ 800 2685]
[ 798 2685]
[ 798 2686]
[ 797 2687]
[ 795 2685]
[ 796 2684]
[ 796 2683]
[ 797 2682]
[ 799 2682]
[ 800 2683]
[ 799 2682]
[ 799 2681]
[ 800 2680]
[ 801 2680]
[ 800 2679]
[ 800 2680]
[ 799 2681]
[ 797 2681]
[ 796 2680]
[ 795 2680]
[ 793 2678]
[ 793 2677]
[ 792 2676]
[ 790 2676]
[ 788 2674]
[ 787 2674]
[ 786 2673]
[ 787 2672]
