X,Y,#
6878,2559,BAD
6879,2559,BAD
6880,2559,BAD
6881,2559,BAD
6882,2559,BAD
6883,2559,BAD
6884,2559,BAD
6885,2559,BAD
6886,2559,BAD
6887,2559,BAD
6888,2559,BAD
6889,2559,BAD
6890,2559,BAD
6891,2559,BAD
6892,2559,BAD
6893,2559,BAD
6872,2560,BAD
6873,2560,BAD
6874,2560,BAD
6875,2560,BAD
6876,2560,BAD
6877,2560,BAD
6878,2560,BAD
6879,2560,BAD
6880,2560,BAD
6881,2560,BAD
6882,2560,BAD
6883,2560,BAD
6884,2560,BAD
6885,2560,BAD
6886,2560,BAD
6887,2560,BAD
6888,2560,BAD
6889,2560,BAD
6890,2560,BAD
6891,2560,BAD
6892,2560,BAD
6893,2560,BAD
6872,2561,BAD
6873,2561,BAD
6874,2561,BAD
6875,2561,BAD
6876,2561,BAD
6877,2561,BAD
6878,2561,BAD
6879,2561,BAD
6880,2561,BAD
6881,2561,BAD
6882,2561,BAD
6883,2561,BAD
6884,2561,BAD
6885,2561,BAD
6886,2561,BAD
6887,2561,BAD
6888,2561,BAD
6889,2561,BAD
6890,2561,BAD
6891,2561,BAD
6892,2561,BAD
6893,2561,BAD
6873,2562,BAD
6874,2562,BAD
6875,2562,BAD
6876,2562,BAD
6877,2562,BAD
6878,2562,BAD
6879,2562,BAD
6880,2562,BAD
6881,2562,BAD
6882,2562,BAD
6883,2562,BAD
6884,2562,BAD
6885,2562,BAD
6886,2562,BAD
6887,2562,BAD
6888,2562,BAD
6889,2562,BAD
6890,2562,BAD
6891,2562,BAD
6892,2562,BAD
6893,2562,BAD
6894,2562,BAD
6873,2563,BAD
6874,2563,BAD
6875,2563,BAD
6876,2563,BAD
6877,2563,BAD
6878,2563,BAD
6879,2563,BAD
6880,2563,BAD
6881,2563,BAD
6882,2563,BAD
6883,2563,BAD
6884,2563,BAD
6885,2563,BAD
6886,2563,BAD
6887,2563,BAD
6888,2563,BAD
6889,2563,BAD
6890,2563,BAD
6891,2563,BAD
6892,2563,BAD
6893,2563,BAD
6894,2563,BAD
6873,2564,BAD
6874,2564,BAD
6875,2564,BAD
6876,2564,BAD
6877,2564,BAD
6878,2564,BAD
6879,2564,BAD
6880,2564,BAD
6881,2564,BAD
6882,2564,BAD
6883,2564,BAD
6884,2564,BAD
6885,2564,BAD
6886,2564,BAD
6887,2564,BAD
6888,2564,BAD
6889,2564,BAD
6890,2564,BAD
6891,2564,BAD
6892,2564,BAD
6893,2564,BAD
6894,2564,BAD
6873,2565,BAD
6874,2565,BAD
6875,2565,BAD
6876,2565,BAD
6877,2565,BAD
6878,2565,BAD
6879,2565,BAD
6880,2565,BAD
6881,2565,BAD
6882,2565,BAD
6883,2565,BAD
6884,2565,BAD
6885,2565,BAD
6886,2565,BAD
6887,2565,BAD
6888,2565,BAD
6889,2565,BAD
6890,2565,BAD
6891,2565,BAD
6892,2565,BAD
6893,2565,BAD
6873,2566,BAD
6874,2566,BAD
6875,2566,BAD
6876,2566,BAD
6877,2566,BAD
6878,2566,BAD
6879,2566,BAD
6880,2566,BAD
6881,2566,BAD
6882,2566,BAD
6883,2566,BAD
6884,2566,BAD
6885,2566,BAD
6886,2566,BAD
6887,2566,BAD
6888,2566,BAD
6889,2566,BAD
6890,2566,BAD
6891,2566,BAD
6892,2566,BAD
6893,2566,BAD
6873,2567,BAD
6874,2567,BAD
6875,2567,BAD
6876,2567,BAD
6877,2567,BAD
6878,2567,BAD
6879,2567,BAD
6880,2567,BAD
6881,2567,BAD
6882,2567,BAD
6883,2567,BAD
6884,2567,BAD
6885,2567,BAD
6886,2567,BAD
6887,2567,BAD
6888,2567,BAD
6889,2567,BAD
6890,2567,BAD
6891,2567,BAD
6892,2567,BAD
6874,2568,BAD
6875,2568,BAD
6876,2568,BAD
6877,2568,BAD
6878,2568,BAD
6879,2568,BAD
6880,2568,BAD
6881,2568,BAD
6882,2568,BAD
6883,2568,BAD
6884,2568,BAD
6885,2568,BAD
6886,2568,BAD
6887,2568,BAD
6888,2568,BAD
6889,2568,BAD
6890,2568,BAD
6891,2568,BAD
6892,2568,BAD
6875,2569,BAD
6876,2569,BAD
6877,2569,BAD
6878,2569,BAD
6879,2569,BAD
6880,2569,BAD
6881,2569,BAD
6882,2569,BAD
6883,2569,BAD
6884,2569,BAD
6885,2569,BAD
6886,2569,BAD
6887,2569,BAD
6888,2569,BAD
6889,2569,BAD
6890,2569,BAD
6877,2570,BAD
6878,2570,BAD
6879,2570,BAD
6880,2570,BAD
6881,2570,BAD
6882,2570,BAD
6883,2570,BAD
6884,2570,BAD
6885,2570,BAD
6886,2570,BAD
6887,2570,BAD
6888,2570,BAD
6889,2570,BAD
6880,2571,BAD
6881,2571,BAD
6882,2571,BAD
6887,2571,BAD
2622,2391,BAD
2623,2391,BAD
2624,2391,BAD
2625,2391,BAD
2621,2392,BAD
2622,2392,BAD
2623,2392,BAD
2624,2392,BAD
2625,2392,BAD
2626,2392,BAD
2627,2392,BAD
2619,2393,BAD
2620,2393,BAD
2621,2393,BAD
2622,2393,BAD
2623,2393,BAD
2624,2393,BAD
2625,2393,BAD
2626,2393,BAD
2627,2393,BAD
2628,2393,BAD
2629,2393,BAD
2618,2394,BAD
2619,2394,BAD
2620,2394,BAD
2621,2394,BAD
2622,2394,BAD
2623,2394,BAD
2624,2394,BAD
2625,2394,BAD
2626,2394,BAD
2627,2394,BAD
2628,2394,BAD
2629,2394,BAD
2618,2395,BAD
2619,2395,BAD
2620,2395,BAD
2621,2395,BAD
2622,2395,BAD
2623,2395,BAD
2624,2395,BAD
2625,2395,BAD
2626,2395,BAD
2627,2395,BAD
2628,2395,BAD
2629,2395,BAD
2617,2396,BAD
2618,2396,BAD
2619,2396,BAD
2620,2396,BAD
2621,2396,BAD
2622,2396,BAD
2623,2396,BAD
2624,2396,BAD
2625,2396,BAD
2626,2396,BAD
2627,2396,BAD
2628,2396,BAD
2629,2396,BAD
2630,2396,BAD
2617,2397,BAD
2618,2397,BAD
2619,2397,BAD
2620,2397,BAD
2621,2397,BAD
2622,2397,BAD
2623,2397,BAD
2624,2397,BAD
2625,2397,BAD
2626,2397,BAD
2627,2397,BAD
2628,2397,BAD
2629,2397,BAD
2630,2397,BAD
2617,2398,BAD
2618,2398,BAD
2619,2398,BAD
2620,2398,BAD
2621,2398,BAD
2622,2398,BAD
2623,2398,BAD
2624,2398,BAD
2625,2398,BAD
2626,2398,BAD
2627,2398,BAD
2628,2398,BAD
2629,2398,BAD
2630,2398,BAD
2618,2399,BAD
2619,2399,BAD
2620,2399,BAD
2621,2399,BAD
2622,2399,BAD
2623,2399,BAD
2624,2399,BAD
2625,2399,BAD
2626,2399,BAD
2627,2399,BAD
2628,2399,BAD
2629,2399,BAD
2630,2399,BAD
2618,2400,BAD
2619,2400,BAD
2620,2400,BAD
2621,2400,BAD
2622,2400,BAD
2623,2400,BAD
2624,2400,BAD
2625,2400,BAD
2626,2400,BAD
2627,2400,BAD
2628,2400,BAD
2629,2400,BAD
2630,2400,BAD
2619,2401,BAD
2620,2401,BAD
2621,2401,BAD
2622,2401,BAD
2623,2401,BAD
2624,2401,BAD
2625,2401,BAD
2626,2401,BAD
2627,2401,BAD
2628,2401,BAD
2629,2401,BAD
2620,2402,BAD
2621,2402,BAD
2622,2402,BAD
2623,2402,BAD
2624,2402,BAD
2625,2402,BAD
2626,2402,BAD
2627,2402,BAD
2628,2402,BAD
2621,2403,BAD
2622,2403,BAD
2623,2403,BAD
2624,2403,BAD
2625,2403,BAD
2626,2403,BAD
2627,2403,BAD
2623,2404,BAD
5893,2296,BAD
5888,2297,BAD
5889,2297,BAD
5890,2297,BAD
5891,2297,BAD
5892,2297,BAD
5893,2297,BAD
5894,2297,BAD
5895,2297,BAD
5896,2297,BAD
5897,2297,BAD
5887,2298,BAD
5888,2298,BAD
5889,2298,BAD
5890,2298,BAD
5891,2298,BAD
5892,2298,BAD
5893,2298,BAD
5894,2298,BAD
5895,2298,BAD
5896,2298,BAD
5897,2298,BAD
5898,2298,BAD
5899,2298,BAD
5887,2299,BAD
5888,2299,BAD
5889,2299,BAD
5890,2299,BAD
5891,2299,BAD
5892,2299,BAD
5893,2299,BAD
5894,2299,BAD
5895,2299,BAD
5896,2299,BAD
5897,2299,BAD
5898,2299,BAD
5899,2299,BAD
5900,2299,BAD
5886,2300,BAD
5887,2300,BAD
5888,2300,BAD
5889,2300,BAD
5890,2300,BAD
5891,2300,BAD
5892,2300,BAD
5893,2300,BAD
5894,2300,BAD
5895,2300,BAD
5896,2300,BAD
5897,2300,BAD
5898,2300,BAD
5899,2300,BAD
5900,2300,BAD
5886,2301,BAD
5887,2301,BAD
5888,2301,BAD
5889,2301,BAD
5890,2301,BAD
5891,2301,BAD
5892,2301,BAD
5893,2301,BAD
5894,2301,BAD
5895,2301,BAD
5896,2301,BAD
5897,2301,BAD
5898,2301,BAD
5899,2301,BAD
5900,2301,BAD
5901,2301,BAD
5885,2302,BAD
5886,2302,BAD
5887,2302,BAD
5888,2302,BAD
5889,2302,BAD
5890,2302,BAD
5891,2302,BAD
5892,2302,BAD
5893,2302,BAD
5894,2302,BAD
5895,2302,BAD
5896,2302,BAD
5897,2302,BAD
5898,2302,BAD
5899,2302,BAD
5900,2302,BAD
5901,2302,BAD
5884,2303,BAD
5885,2303,BAD
5886,2303,BAD
5887,2303,BAD
5888,2303,BAD
5889,2303,BAD
5890,2303,BAD
5891,2303,BAD
5892,2303,BAD
5893,2303,BAD
5894,2303,BAD
5895,2303,BAD
5896,2303,BAD
5897,2303,BAD
5898,2303,BAD
5899,2303,BAD
5900,2303,BAD
5901,2303,BAD
5884,2304,BAD
5885,2304,BAD
5886,2304,BAD
5887,2304,BAD
5888,2304,BAD
5889,2304,BAD
5890,2304,BAD
5891,2304,BAD
5892,2304,BAD
5893,2304,BAD
5894,2304,BAD
5895,2304,BAD
5896,2304,BAD
