X,Y,#
1182,1652,BAD
1182,1653,BAD
1181,1654,BAD
1181,1656,BAD
1182,1657,BAD
1186,1657,BAD
1187,1656,BAD
1187,1653,BAD
1186,1652,BAD
442,1470,BAD
441,1471,BAD
439,1471,BAD
436,1474,BAD
435,1474,BAD
435,1478,BAD
434,1479,BAD
434,1480,BAD
438,1484,BAD
448,1484,BAD
452,1480,BAD
451,1479,BAD
452,1478,BAD
452,1476,BAD
451,1475,BAD
451,1474,BAD
448,1471,BAD
447,1471,BAD
446,1470,BAD
833,1382,BAD
831,1384,BAD
831,1386,BAD
833,1388,BAD
837,1388,BAD
838,1387,BAD
839,1387,BAD
839,1385,BAD
838,1384,BAD
838,1383,BAD
837,1382,BAD
6881,1317,BAD
6880,1318,BAD
6880,1319,BAD
6879,1320,BAD
6879,1321,BAD
6881,1323,BAD
6884,1323,BAD
6885,1322,BAD
6885,1321,BAD
6886,1320,BAD
6886,1318,BAD
6885,1317,BAD
6300,1212,BAD
6299,1213,BAD
6297,1213,BAD
6296,1214,BAD
6294,1214,BAD
6290,1218,BAD
6290,1219,BAD
6289,1220,BAD
6289,1222,BAD
6288,1223,BAD
6288,1229,BAD
6287,1230,BAD
6287,1231,BAD
6288,1232,BAD
6288,1233,BAD
6289,1234,BAD
6289,1237,BAD
6290,1238,BAD
6290,1239,BAD
6294,1243,BAD
6295,1243,BAD
6296,1244,BAD
6298,1244,BAD
6299,1243,BAD
6301,1243,BAD
6303,1241,BAD
6308,1241,BAD
6309,1242,BAD
6313,1242,BAD
6314,1243,BAD
6316,1243,BAD
6317,1244,BAD
6318,1244,BAD
6319,1243,BAD
6322,1243,BAD
6324,1241,BAD
6324,1236,BAD
6323,1235,BAD
6323,1233,BAD
6322,1232,BAD
6322,1231,BAD
6321,1230,BAD
6321,1228,BAD
6320,1227,BAD
6320,1226,BAD
6318,1224,BAD
6318,1223,BAD
6317,1222,BAD
6317,1221,BAD
6308,1212,BAD
2421,827,BAD
2420,828,BAD
2419,828,BAD
2416,831,BAD
2416,833,BAD
2415,834,BAD
2415,835,BAD
2416,836,BAD
2416,838,BAD
2419,841,BAD
2427,841,BAD
2428,840,BAD
2429,840,BAD
2429,839,BAD
2431,837,BAD
2431,834,BAD
2430,833,BAD
2430,830,BAD
2428,828,BAD
2426,828,BAD
2425,827,BAD
1332,824,BAD
1330,826,BAD
1330,829,BAD
1331,830,BAD
1332,830,BAD
