X,Y,#
3656,2740,4
x,y
[2509 1908]
[2508 1909]
[2507 1909]
[2506 1910]
[2505 1910]
[2505 1911]
[2504 1912]
[2503 1912]
[2502 1913]
[2502 1915]
[2503 1915]
[2504 1916]
[2505 1915]
[2505 1914]
[2506 1913]
[2511 1913]
[2512 1914]
[2513 1913]
[2512 1914]
[2511 1913]
[2511 1912]
[2510 1912]
[2509 1911]
[2510 1910]
[2510 1909]
[1665 1236]
[1664 1237]
[1663 1237]
[1660 1240]
[1660 1241]
[1659 1242]
[1659 1245]
[1660 1246]
[1660 1247]
[1661 1248]
[1662 1248]
[1663 1247]
[1664 1248]
[1665 1247]
[1667 1247]
[1668 1248]
[1670 1246]
[1670 1241]
[1669 1240]
[1669 1239]
[1666 1236]
[1353  846]
[1352  847]
[1351  847]
[1350  848]
[1348  848]
[1348  849]
[1347  850]
[1345  850]
[1344  851]
[1343  851]
[1343  852]
[1342  853]
[1341  853]
[1340  854]
[1339  854]
[1338  855]
[1338  856]
[1335  859]
[1334  859]
[1328  865]
[1327  865]
[1326  866]
[1326  867]
[1319  874]
[1319  875]
[1316  878]
[1316  879]
[1315  880]
[1315  881]
[1314  882]
[1314  883]
[1313  884]
[1313  885]
[1312  886]
[1312  888]
[1310  890]
[1310  892]
[1309  893]
[1309  894]
[1308  895]
[1308  898]
[1307  899]
[1307  903]
[1306  904]
[1306  918]
[1305  919]
[1305  920]
[1306  921]
[1306  934]
[1307  935]
[1307  948]
[1308  949]
[1308  953]
[1309  954]
[1309  955]
[1310  956]
[1310  962]
[1311  963]
[1311  964]
[1312  965]
[1312  966]
[1313  967]
[1313  968]
[1314  969]
[1314  970]
[1316  972]
[1316  973]
[1318  975]
[1320  975]
[1323  978]
[1325  978]
[1327  980]
[1328  980]
[1329  981]
[1330  981]
[1331  982]
[1332  982]
[1334  984]
[1335  984]
[1337  986]
[1338  986]
[1339  987]
[1341  987]
[1343  989]
[1345  989]
[1346  990]
[1347  990]
[1348  991]
[1350  991]
[1351  992]
[1353  992]
[1354  993]
[1355  992]
[1356  993]
[1359  993]
[1360  994]
[1362  994]
[1363  993]
[1364  993]
[1365  994]
[1369  994]
[1371  996]
[1376  996]
[1377  997]
[1381  997]
[1382  998]
[1384  998]
[1387 1001]
[1392 1001]
[1393 1002]
[1394 1002]
[1395 1003]
[1397 1003]
[1398 1004]
[1403 1004]
[1404 1005]
[1406 1005]
[1407 1006]
[1410 1006]
[1411 1007]
[1413 1007]
[1415 1005]
[1420 1005]
[1421 1006]
[1422 1006]
[1423 1007]
[1426 1007]
[1428 1009]
[1429 1009]
[1430 1010]
[1432 1010]
[1433 1011]
[1435 1011]
[1436 1010]
[1438 1010]
[1439 1011]
[1441 1011]
[1442 1010]
[1444 1010]
[1445 1011]
[1446 1010]
[1449 1010]
[1450 1009]
[1452 1009]
[1453 1008]
[1454 1008]
[1455 1007]
[1455 1006]
[1456 1005]
[1458 1005]
[1459 1004]
[1463 1004]
[1464 1003]
[1474 1003]
[1475 1002]
[1478 1002]
[1482  998]
[1483  998]
[1483  997]
[1484  996]
[1484  995]
[1486  993]
[1487  993]
[1487  992]
[1488  991]
[1488  990]
[1490  988]
[1491  988]
[1492  987]
[1492  986]
[1496  982]
[1497  982]
[1499  980]
[1500  980]
[1501  979]
[1503  979]
[1503  978]
[1504  977]
[1505  977]
[1506  976]
[1508  976]
[1509  975]
[1510  975]
[1511  974]
[1512  974]
[1517  969]
[1517  968]
[1518  967]
[1518  965]
[1519  964]
[1519  962]
[1520  961]
[1520  959]
[1521  958]
[1521  957]
[1522  956]
[1523  956]
[1524  955]
[1524  954]
[1529  949]
[1529  948]
[1531  946]
[1531  945]
[1532  944]
[1532  938]
[1530  936]
[1531  935]
[1530  934]
[1530  929]
[1529  928]
[1530  927]
[1530  916]
[1529  915]
[1529  911]
[1528  910]
[1528  907]
[1527  906]
[1527  904]
[1526  903]
[1527  902]
[1525  900]
[1525  898]
[1523  896]
[1523  895]
[1522  894]
[1522  893]
[1521  892]
[1521  891]
[1520  890]
[1520  889]
[1519  888]
[1519  886]
[1518  885]
[1518  884]
[1517  883]
[1517  881]
[1515  879]
[1515  877]
[1514  876]
[1514  875]
[1512  873]
[1512  872]
[1511  871]
[1511  870]
[1508  867]
[1508  866]
[1507  866]
[1506  865]
[1506  864]
[1504  862]
[1503  862]
[1502  861]
[1500  861]
[1499  860]
[1494  860]
[1492  858]
[1491  859]
[1482  859]
[1481  858]
[1476  858]
[1475  859]
[1473  859]
[1472  858]
[1471  859]
[1470  859]
[1468  857]
[1467  857]
[1466  858]
[1464  858]
[1463  857]
[1462  857]
[1461  858]
[1459  856]
[1458  856]
[1457  855]
[1454  855]
[1453  854]
[1452  855]
[1451  855]
[1450  854]
[1448  854]
[1447  853]
[1445  853]
[1444  854]
[1442  854]
[1441  853]
[1437  853]
[1436  852]
[1427  852]
[1426  851]
[1425  851]
[1424  850]
[1423  851]
[1422  850]
[1409  850]
[1408  849]
[1401  849]
[1400  848]
[1399  848]
[1398  849]
[1395  849]
[1394  848]
[1393  849]
[1391  849]
[1390  848]
[1389  848]
[1388  849]
[1386  849]
[1385  848]
[1384  848]
[1383  849]
[1379  849]
[1378  848]
[1370  848]
[1369  847]
[1366  847]
[1365  846]
[1843  309]
[1842  310]
[1839  310]
[1836  313]
[1836  320]
[1837  320]
[1839  322]
[1842  322]
[1843  321]
[1844  321]
[1845  320]
[1846  320]
[1847  319]
[1847  311]
[1846  311]
[1845  310]
[1844  310]
