X,Y,#
3656,2740,13
x,y,size
2045,1580,49659
2222,984,1117
1165,1102,341
1869,2528,114
2862,1716,107
646,1508,104
633,1230,88
1991,265,74
2386,640,44
226,905,40
669,2040,30
1669,1543,28
1820,2352,24
